Source,Target,Weight
Fernando Filoni,Stanisław Ryłko,3
Fernando Filoni,Francisco Robles Ortega,2
Fernando Filoni,Daniel DiNardo,2
Fernando Filoni,Odilo Scherer,2
Fernando Filoni,Robert Sarah,2
Fernando Filoni,Raymond Leo Burke,2
Fernando Filoni,Kurt Koch,3
Fernando Filoni,Kazimierz Nycz,3
Fernando Filoni,Malcolm Ranjith,2
Fernando Filoni,Reinhard Marx,3
Fernando Filoni,João Braz de Aviz,3
Fernando Filoni,Thomas Collins,3
Fernando Filoni,Wim Eijk,4
Fernando Filoni,Giuseppe Betori,5
Fernando Filoni,Timothy Dolan,3
Fernando Filoni,Rainer Woelki,5
Fernando Filoni,James Michael Harvey,2
Fernando Filoni,Baselios Cleemis,3
Fernando Filoni,Gerhard Ludwig Müller,2
Fernando Filoni,Vincent Nichols,2
Fernando Filoni,Leopoldo Brenes,1
Fernando Filoni,Gérald Lacroix ISPX,2
Fernando Filoni,Jean-Pierre Kutwa,1
Fernando Filoni,Orani João Tempesta OCist,1
Fernando Filoni,Mario Aurelio Poli,1
Fernando Filoni,Philippe Ouédraogo,1
Fernando Filoni,Chibly Langlois,2
Fernando Filoni,Manuel Clemente,2
Fernando Filoni,Berhaneyesus Demerew Souraphiel CM,1
Fernando Filoni,John Dew,1
Fernando Filoni,Charles Maung Bo SDB,1
Fernando Filoni,Kriengsak Kovitvanit,1
Fernando Filoni,Francesco Montenegro,3
Fernando Filoni,Daniel Sturla SDB,2
Fernando Filoni,Arlindo Gomes Furtado,1
Fernando Filoni,Soane Patita Paini Mafi,2
Fernando Filoni,Dieudonné Nzapalainga CSSp,2
Fernando Filoni,Carlos Osoro Sierra,2
Fernando Filoni,Sérgio da Rocha,2
Fernando Filoni,Blase J. Cupich,1
Fernando Filoni,Jozef De Kesel,2
Fernando Filoni,Carlos Aguiar Retes,1
Fernando Filoni,John Ribat MSC,2
Fernando Filoni,Joseph W. Tobin CSsR,1
Fernando Filoni,Juan José Omella,2
Fernando Filoni,Anders Arborelius OCD,2
Fernando Filoni,Angelo De Donatis,3
Fernando Filoni,Joseph Coutts,1
Fernando Filoni,António Marto,2
Fernando Filoni,Désiré Tsarahazana,1
Fernando Filoni,Giuseppe Petrocchi,3
Fernando Filoni,Thomas Aquino Manyo Maeda,1
Fernando Filoni,Ignatius Suharyo Hardjoatmodjo,1
Fernando Filoni,Juan García Rodríguez,1
Fernando Filoni,Fridolin Ambongo Besungu OFMCap,2
Fernando Filoni,Jean-Claude Hollerich SJ,3
Fernando Filoni,Álvaro Leonel Ramazzini Imeri,1
Fernando Filoni,Matteo Zuppi,4
Fernando Filoni,Cristóbal López Romero SDB,1
Fernando Filoni,Antoine Kambanda,2
Fernando Filoni,Wilton Daniel Gregory,1
Fernando Filoni,Jose Advincula OP,1
Fernando Filoni,Augusto Paolo Lojudice,4
Fernando Filoni,Jean-Marc Aveline,3
Fernando Filoni,Peter Okpaleke,2
Fernando Filoni,Leonardo Ulrich Steiner OFM,1
Fernando Filoni,Filipe Neri Ferrão,1
Fernando Filoni,Robert McElroy,1
Fernando Filoni,Virgílio do Carmo da Silva SDB,2
Fernando Filoni,Oscar Cantoni,3
Fernando Filoni,Anthony Poola,2
Fernando Filoni,Paulo Cezar Costa,2
Fernando Filoni,William Goh,2
Fernando Filoni,Adalberto Martínez Flores,1
Fernando Filoni,Giorgio Marengo IMC,2
Fernando Filoni,Pierbattista Pizzaballa OFM,2
Fernando Filoni,Stephen Brislin,2
Fernando Filoni,Ángel Sixto Rossi SJ,2
Fernando Filoni,Luis José Rueda Aparicio,2
Fernando Filoni,Grzegorz Ryś,3
Fernando Filoni,Stephen Ameyu Martin Mulla,2
Fernando Filoni,José Cobo Cano,3
Fernando Filoni,Protase Rugambwa,2
Fernando Filoni,Sebastian Francis,1
Fernando Filoni,Stephen Chow Sau-yan SJ,2
Fernando Filoni,François-Xavier Bustillo OFMConv,3
Fernando Filoni,Américo Aguiar,3
Fernando Filoni,Carlos Castillo Mattasoglio,1
Fernando Filoni,Vicente Bokalic Iglic CM,1
Fernando Filoni,Luis Cabrera Herrera OFM,2
Fernando Filoni,Fernando Chomalí Garib,2
Fernando Filoni,Tarcisio Isao Kikuchi SVD,2
Fernando Filoni,Pablo Virgilio David,2
Fernando Filoni,Ladislav Nemet SVD,3
Fernando Filoni,Jaime Spengler OFM,2
Fernando Filoni,Ignace Bessi Dogbo,2
Fernando Filoni,Jean-Paul Vesco OP,2
Fernando Filoni,Dominique Mathieu OFMConv,2
Fernando Filoni,Roberto Repole,4
Fernando Filoni,Baldassare Reina,4
Fernando Filoni,Frank Leo,2
Fernando Filoni,Mykola Bychok CSsR,2
Fernando Filoni,Domenico Battaglia,4
Fernando Filoni,Dominique Mamberti,2
Fernando Filoni,Mario Zenari,3
Fernando Filoni,Kevin Farrell,1
Fernando Filoni,Konrad Krajewski,3
Fernando Filoni,José Tolentino de Mendonça,3
Fernando Filoni,Michael Czerny SJ,1
Fernando Filoni,Mario Grech,3
Fernando Filoni,Marcello Semeraro,3
Fernando Filoni,Mauro Gambetti OFMConv,4
Fernando Filoni,Arthur Roche,2
Fernando Filoni,Lazarus You Heung-sik,1
Fernando Filoni,Claudio Gugerotti,4
Fernando Filoni,Víctor Manuel Fernández,2
Fernando Filoni,Emil Paul Tscherrig,2
Fernando Filoni,Christophe Pierre,2
Fernando Filoni,Ángel Fernández Artime SDB,3
Fernando Filoni,Rolandas Makrickas,3
Fernando Filoni,Timothy Radcliffe OP,2
Fernando Filoni,Fabio Baggio CS,4
Fernando Filoni,George Koovakad,2
Luis Antonio Tagle,Robert Francis Prevost OSA,4
Luis Antonio Tagle,Louis Raphaël I Sako,4
Luis Antonio Tagle,Vinko Puljić,2
Luis Antonio Tagle,Peter Turkson,2
Luis Antonio Tagle,Josip Bozanić,2
Luis Antonio Tagle,Philippe Barbarin,2
Luis Antonio Tagle,Péter Erdő,2
Luis Antonio Tagle,Stanisław Ryłko,3
Luis Antonio Tagle,Francisco Robles Ortega,3
Luis Antonio Tagle,Daniel DiNardo,3
Luis Antonio Tagle,Odilo Scherer,3
Luis Antonio Tagle,Robert Sarah,3
Luis Antonio Tagle,Raymond Leo Burke,3
Luis Antonio Tagle,Kurt Koch,3
Luis Antonio Tagle,Kazimierz Nycz,3
Luis Antonio Tagle,Malcolm Ranjith,4
Luis Antonio Tagle,Reinhard Marx,3
Luis Antonio Tagle,João Braz de Aviz,3
Luis Antonio Tagle,Thomas Collins,3
Luis Antonio Tagle,Wim Eijk,3
Luis Antonio Tagle,Giuseppe Betori,3
Luis Antonio Tagle,Timothy Dolan,3
Luis Antonio Tagle,Rainer Woelki,4
Luis Antonio Tagle,James Michael Harvey,4
Luis Antonio Tagle,Baselios Cleemis,6
Luis Antonio Tagle,Gerhard Ludwig Müller,2
Luis Antonio Tagle,Vincent Nichols,2
Luis Antonio Tagle,Leopoldo Brenes,2
Luis Antonio Tagle,Gérald Lacroix ISPX,3
Luis Antonio Tagle,Jean-Pierre Kutwa,2
Luis Antonio Tagle,Orani João Tempesta OCist,2
Luis Antonio Tagle,Mario Aurelio Poli,2
Luis Antonio Tagle,Philippe Ouédraogo,2
Luis Antonio Tagle,Chibly Langlois,3
Luis Antonio Tagle,Manuel Clemente,2
Luis Antonio Tagle,Berhaneyesus Demerew Souraphiel CM,2
Luis Antonio Tagle,John Dew,2
Luis Antonio Tagle,Charles Maung Bo SDB,3
Luis Antonio Tagle,Kriengsak Kovitvanit,3
Luis Antonio Tagle,Francesco Montenegro,2
Luis Antonio Tagle,Daniel Sturla SDB,3
Luis Antonio Tagle,Arlindo Gomes Furtado,2
Luis Antonio Tagle,Soane Patita Paini Mafi,3
Luis Antonio Tagle,Dieudonné Nzapalainga CSSp,3
Luis Antonio Tagle,Carlos Osoro Sierra,2
Luis Antonio Tagle,Sérgio da Rocha,3
Luis Antonio Tagle,Blase J. Cupich,2
Luis Antonio Tagle,Jozef De Kesel,2
Luis Antonio Tagle,Carlos Aguiar Retes,2
Luis Antonio Tagle,John Ribat MSC,3
Luis Antonio Tagle,Joseph W. Tobin CSsR,2
Luis Antonio Tagle,Juan José Omella,2
Luis Antonio Tagle,Anders Arborelius OCD,2
Luis Antonio Tagle,Angelo De Donatis,2
Luis Antonio Tagle,Joseph Coutts,3
Luis Antonio Tagle,António Marto,2
Luis Antonio Tagle,Désiré Tsarahazana,2
Luis Antonio Tagle,Giuseppe Petrocchi,2
Luis Antonio Tagle,Thomas Aquino Manyo Maeda,3
Luis Antonio Tagle,Ignatius Suharyo Hardjoatmodjo,3
Luis Antonio Tagle,Juan García Rodríguez,2
Luis Antonio Tagle,Fridolin Ambongo Besungu OFMCap,3
Luis Antonio Tagle,Jean-Claude Hollerich SJ,3
Luis Antonio Tagle,Álvaro Leonel Ramazzini Imeri,2
Luis Antonio Tagle,Matteo Zuppi,3
Luis Antonio Tagle,Cristóbal López Romero SDB,2
Luis Antonio Tagle,Antoine Kambanda,3
Luis Antonio Tagle,Wilton Daniel Gregory,2
Luis Antonio Tagle,Jose Advincula OP,4
Luis Antonio Tagle,Augusto Paolo Lojudice,3
Luis Antonio Tagle,Jean-Marc Aveline,3
Luis Antonio Tagle,Peter Okpaleke,3
Luis Antonio Tagle,Leonardo Ulrich Steiner OFM,2
Luis Antonio Tagle,Filipe Neri Ferrão,3
Luis Antonio Tagle,Robert McElroy,2
Luis Antonio Tagle,Virgílio do Carmo da Silva SDB,3
Luis Antonio Tagle,Oscar Cantoni,2
Luis Antonio Tagle,Anthony Poola,4
Luis Antonio Tagle,Paulo Cezar Costa,3
