Community,size,density,avg_degree,avg_weight,countries,continents
0,45,1.0,44.0,294.4888888888889,18,1
1,20,1.0,19.0,156.3,13,5
2,68,0.9885864793678666,66.23529411764706,269.0882352941176,49,5
