No,Name,Country,Order,Office,Date_of_birth,Age,Date_of_consistory,Pope_of_consistory
74,Jean-Marc Aveline,France,CP,Archbishop of Marseille,26 December 1958,66,27 August 2022,Francis
75,Peter Okpaleke,Nigeria,CP,Bishop of Ekwulobia,1 March 1963,62,27 August 2022,Francis
76,Leonardo Ulrich Steiner OFM,Brazil,CP,Archbishop of Manaus,6 November 1950,74,27 August 2022,Francis
77,Filipe Neri Ferrão,India,CP,Archbishop of Goa and Daman and Patriarch of the East Indies,20 January 1953,72,27 August 2022,Francis
78,Robert McElroy,United States,CP,Archbishop of Washington,5 February 1954,71,27 August 2022,Francis
79,Virgílio do Carmo da Silva SDB,Timor-Leste,CP,Archbishop of Díli,27 November 1967,57,27 August 2022,Francis
80,Oscar Cantoni,Italy,CP,Bishop of Como,1 September 1950,74,27 August 2022,Francis
81,Anthony Poola,India,CP,Archbishop of Hyderabad,15 November 1961,63,27 August 2022,Francis
82,Paulo Cezar Costa,Brazil,CP,Archbishop of Brasília,20 July 1967,57,27 August 2022,Francis
83,William Goh,Singapore,CP,Archbishop of Singapore,25 June 1957,67,27 August 2022,Francis
84,Adalberto Martínez Flores,Paraguay,CP,Archbishop of Asunción,8 July 1951,73,27 August 2022,Francis
85,Giorgio Marengo IMC,Mongolia[g],CP,Apostolic Prefect of Ulaanbaatar,7 June 1974,50,27 August 2022,Francis
86,Pierbattista Pizzaballa OFM,Jerusalem[h],CP,Latin Patriarch of Jerusalem,21 April 1965,60,30 September 2023,Francis
87,Stephen Brislin,South Africa,CP,Archbishop of Johannesburg,24 September 1956,68,30 September 2023,Francis
88,Ángel Sixto Rossi SJ,Argentina,CP,Archbishop of Córdoba,11 August 1958,66,30 September 2023,Francis
89,Luis José Rueda Aparicio,Colombia,CP,Archbishop of Bogotá,3 March 1962,63,30 September 2023,Francis
90,Grzegorz Ryś,Poland,CP,Archbishop of Łódź,9 February 1964,61,30 September 2023,Francis
91,Stephen Ameyu Martin Mulla,South Sudan,CP,Archbishop of Juba,10 January 1964,61,30 September 2023,Francis
92,José Cobo Cano,Spain,CP,Archbishop of Madrid,20 September 1965,59,30 September 2023,Francis
93,Protase Rugambwa,Tanzania,CP,Archbishop of Tabora,31 May 1960,64,30 September 2023,Francis
94,Sebastian Francis,Malaysia,CP,Bishop of Penang,11 November 1951,73,30 September 2023,Francis
95,Stephen Chow Sau-yan SJ,"China
(Hong Kong)[i]",CP,Bishop of Hong Kong,7 August 1959,65,30 September 2023,Francis
96,François-Xavier Bustillo OFMConv,France[j],CP,Bishop of Ajaccio,23 November 1968,56,30 September 2023,Francis
97,Américo Aguiar,Portugal,CP,Bishop of Setúbal,12 December 1973,51,30 September 2023,Francis
98,Carlos Castillo Mattasoglio,Peru,CP,Archbishop of Lima,28 February 1950,75,7 December 2024,Francis
99,Vicente Bokalic Iglic CM,Argentina,CP,Archbishop of Santiago del Estero,11 June 1952,72,7 December 2024,Francis
100,Luis Cabrera Herrera OFM,Ecuador,CP,Archbishop of Guayaquil,11 October 1955,69,7 December 2024,Francis
101,Fernando Chomalí Garib,Chile,CP,Archbishop of Santiago de Chile,10 March 1957,68,7 December 2024,Francis
102,Tarcisio Isao Kikuchi SVD,Japan,CP,Archbishop of Tokyo,1 November 1958,66,7 December 2024,Francis
103,Pablo Virgilio David,Philippines,CP,Bishop of Kalookan,2 March 1959,66,7 December 2024,Francis
104,Ladislav Nemet SVD,Serbia[k],CP,Archbishop of Belgrade,7 September 1956,68,7 December 2024,Francis
